id,customer_id,name,email,tier,region,updated_at
customer-030,customer-030,Customer 030,customer030@example.invalid,standard,APAC,2026-09-11T00:30:00Z
customer-031,customer-031,Customer 031,customer031@example.invalid,gold,APAC,2026-09-11T00:31:00Z
customer-032,customer-032,Customer 032,customer032@example.invalid,platinum,EU,2026-09-11T00:32:00Z
customer-033,customer-033,Customer 033,customer033@example.invalid,platinum,US,2026-09-11T00:33:00Z
customer-034,customer-034,Customer 034,customer034@example.invalid,platinum,US,2026-09-11T00:34:00Z
customer-035,customer-035,Customer 035,customer035@example.invalid,standard,APAC,2026-09-11T00:35:00Z
customer-036,customer-036,Customer 036,customer036@example.invalid,standard,EU,2026-09-11T00:36:00Z
customer-037,customer-037,Customer 037,customer037@example.invalid,standard,US,2026-09-11T00:37:00Z
customer-038,customer-038,Customer 038,customer038@example.invalid,standard,EU,2026-09-11T00:38:00Z
customer-039,customer-039,Customer 039,customer039@example.invalid,gold,EU,2026-09-11T00:39:00Z
customer-040,customer-040,Customer 040,customer040@example.invalid,platinum,EU,2026-09-11T00:40:00Z
customer-041,customer-041,Customer 041,customer041@example.invalid,standard,EU,2026-09-11T00:41:00Z
customer-042,customer-042,Customer 042,customer042@example.invalid,gold,US,2026-09-11T00:42:00Z
customer-043,customer-043,Customer 043,customer043@example.invalid,platinum,EU,2026-09-11T00:43:00Z
customer-044,customer-044,Customer 044,customer044@example.invalid,platinum,APAC,2026-09-11T00:44:00Z
customer-045,customer-045,Customer 045,customer045@example.invalid,platinum,US,2026-09-11T00:45:00Z
customer-046,customer-046,Customer 046,customer046@example.invalid,platinum,APAC,2026-09-11T00:46:00Z
customer-047,customer-047,Customer 047,customer047@example.invalid,standard,APAC,2026-09-11T00:47:00Z
customer-048,customer-048,Customer 048,customer048@example.invalid,platinum,US,2026-09-11T00:48:00Z
customer-049,customer-049,Customer 049,customer049@example.invalid,standard,EU,2026-09-11T00:49:00Z
customer-050,customer-050,Customer 050,customer050@example.invalid,gold,EU,2026-09-11T00:50:00Z
customer-051,customer-051,Customer 051,customer051@example.invalid,platinum,APAC,2026-09-11T00:51:00Z
customer-052,customer-052,Customer 052,customer052@example.invalid,platinum,US,2026-09-11T00:52:00Z
customer-053,customer-053,Customer 053,customer053@example.invalid,platinum,EU,2026-09-11T00:53:00Z
customer-054,customer-054,Customer 054,customer054@example.invalid,standard,US,2026-09-11T00:54:00Z
customer-055,customer-055,Customer 055,customer055@example.invalid,standard,EU,2026-09-11T00:55:00Z
customer-056,customer-056,Customer 056,customer056@example.invalid,gold,EU,2026-09-11T00:56:00Z
customer-057,customer-057,Customer 057,customer057@example.invalid,standard,US,2026-09-11T00:57:00Z
customer-058,customer-058,Customer 058,customer058@example.invalid,platinum,APAC,2026-09-11T00:58:00Z
customer-059,customer-059,Customer 059,customer059@example.invalid,gold,US,2026-09-11T00:59:00Z
customer-060,customer-060,Customer 060,customer060@example.invalid,platinum,EU,2026-09-11T01:00:00Z
customer-061,customer-061,Customer 061,customer061@example.invalid,gold,APAC,2026-09-11T01:01:00Z
customer-062,customer-062,Customer 062,customer062@example.invalid,gold,US,2026-09-11T01:02:00Z
customer-063,customer-063,Customer 063,customer063@example.invalid,gold,US,2026-09-11T01:03:00Z
customer-064,customer-064,Customer 064,customer064@example.invalid,standard,APAC,2026-09-11T01:04:00Z
customer-065,customer-065,Customer 065,customer065@example.invalid,platinum,APAC,2026-09-11T01:05:00Z
customer-066,customer-066,Customer 066,customer066@example.invalid,gold,APAC,2026-09-11T01:06:00Z
customer-067,customer-067,Customer 067,customer067@example.invalid,platinum,EU,2026-09-11T01:07:00Z
customer-068,customer-068,Customer 068,customer068@example.invalid,platinum,EU,2026-09-11T01:08:00Z
customer-069,customer-069,Customer 069,customer069@example.invalid,gold,US,2026-09-11T01:09:00Z
customer-070,customer-070,Customer 070,customer070@example.invalid,standard,APAC,2026-09-11T01:10:00Z
customer-071,customer-071,Customer 071,customer071@example.invalid,gold,US,2026-09-11T01:11:00Z
customer-072,customer-072,Customer 072,customer072@example.invalid,standard,US,2026-09-11T01:12:00Z
customer-073,customer-073,Customer 073,customer073@example.invalid,standard,APAC,2026-09-11T01:13:00Z
customer-074,customer-074,Customer 074,customer074@example.invalid,standard,APAC,2026-09-11T01:14:00Z
customer-075,customer-075,Customer 075,customer075@example.invalid,gold,APAC,2026-09-11T01:15:00Z
customer-076,customer-076,Customer 076,customer076@example.invalid,standard,EU,2026-09-11T01:16:00Z
customer-077,customer-077,Customer 077,customer077@example.invalid,gold,APAC,2026-09-11T01:17:00Z
customer-078,customer-078,Customer 078,customer078@example.invalid,gold,APAC,2026-09-11T01:18:00Z
customer-079,customer-079,Customer 079,customer079@example.invalid,gold,APAC,2026-09-11T01:19:00Z
customer-080,customer-080,Customer 080,customer080@example.invalid,standard,APAC,2026-09-11T01:20:00Z
customer-081,customer-081,Customer 081,customer081@example.invalid,platinum,US,2026-09-11T01:21:00Z
customer-082,customer-082,Customer 082,customer082@example.invalid,platinum,APAC,2026-09-11T01:22:00Z
customer-083,customer-083,Customer 083,customer083@example.invalid,gold,APAC,2026-09-11T01:23:00Z
customer-084,customer-084,Customer 084,customer084@example.invalid,gold,US,2026-09-11T01:24:00Z
customer-085,customer-085,Customer 085,customer085@example.invalid,gold,EU,2026-09-11T01:25:00Z
customer-086,customer-086,Customer 086,customer086@example.invalid,standard,EU,2026-09-11T01:26:00Z
customer-087,customer-087,Customer 087,customer087@example.invalid,standard,APAC,2026-09-11T01:27:00Z
customer-088,customer-088,Customer 088,customer088@example.invalid,platinum,EU,2026-09-11T01:28:00Z
customer-089,customer-089,Customer 089,customer089@example.invalid,platinum,US,2026-09-11T01:29:00Z
customer-090,customer-090,Customer 090,customer090@example.invalid,platinum,US,2026-09-11T01:30:00Z
customer-091,customer-091,Customer 091,customer091@example.invalid,platinum,EU,2026-09-11T01:31:00Z
customer-092,customer-092,Customer 092,customer092@example.invalid,platinum,APAC,2026-09-11T01:32:00Z
customer-093,customer-093,Customer 093,customer093@example.invalid,platinum,US,2026-09-11T01:33:00Z
customer-094,customer-094,Customer 094,customer094@example.invalid,standard,EU,2026-09-11T01:34:00Z
customer-095,customer-095,Customer 095,customer095@example.invalid,standard,APAC,2026-09-11T01:35:00Z
customer-096,customer-096,Customer 096,customer096@example.invalid,platinum,US,2026-09-11T01:36:00Z
customer-097,customer-097,Customer 097,customer097@example.invalid,platinum,EU,2026-09-11T01:37:00Z
customer-098,customer-098,Customer 098,customer098@example.invalid,gold,US,2026-09-11T01:38:00Z
customer-099,customer-099,Customer 099,customer099@example.invalid,standard,EU,2026-09-11T01:39:00Z
customer-100,customer-100,Customer 100,customer100@example.invalid,gold,US,2026-09-11T01:40:00Z
